degree-program,current-semester,hours-study-per-day-average,hours-per-day-use-mobile phone,GPA-current/previous-semester,expected-GPA-this-course/semester,hours-sleep-per-night,average-class-attendance,hours-per-day-use-social-media-apps,use-mobile-during-study-sessions,preferred-study-time,primary-study-method,revise-within-24-hours-after-class,start–preparing-exams,academic-stress-level,motivation-level,procrastinate
BS Data Science,5,1.6,2.3,2.91,3.68,6.3,91.6,4.2,Never,Late night,Mixed,Rarely,Last day,5,4,Sometimes
BS Software Engineering,5,1.8,3.6,3.58,2.78,6.6,79.8,2.9,Sometimes,Morning,Reading notes,Sometimes,Last day,4,1,No
DPT,7,3.8,2.9,2.85,3.64,13.2,91.8,2.5,Rarely,Afternoon,Mixed,Sometimes,Throughout the semester,0,5,Yes
BS Data Science,5,1.6,3.1,1.82,2.36,6.3,85.3,3.0,Often,Late night,Mixed,Sometimes,2–3 days before,4,3,Yes
BBA,5,1.6,1.9,2.47,2.83,5.4,88.9,3.9,Sometimes,Evening,Mixed,Never,Last day,4,2,Sometimes
BS AI,2,2.0,1.5,1.78,3.2,7.1,74.5,2.5,Always,Late night,Video lectures,Rarely,1 week before,4,1,Yes
BS Data Science,2,1.6,4.5,0.0,3.1,6.2,85.3,4.5,Rarely,Late night,Mixed,Rarely,2–3 days before,4,5,Sometimes
DPT,2,4.9,3.1,0.0,3.34,5.6,81.1,2.5,Often,Late night,Mixed,Never,2–3 days before,4,1,No
BS AI,4,4.1,4.5,3.89,3.15,6.8,95.2,2.0,Always,Late night,Mixed,Sometimes,1 week before,4,1,Sometimes
BS Mathematics,5,1.8,4.2,2.21,3.31,8.3,80.0,2.9,Always,Late night,Mixed,Always,Last day,5,1,Sometimes
BS Accounting & finance,3,4.7,2.1,2.86,3.18,14.5,76.4,2.8,Sometimes,Evening,Video lectures,Rarely,2–3 days before,1,1,Sometimes
BS Software Engineering,5,2.1,3.5,3.86,3.34,6.7,89.2,1.1,Sometimes,Morning,Mixed,Never,2–3 days before,5,1,Sometimes
BS Data Science,2,1.5,3.6,1.75,2.25,5.9,92.5,2.8,Sometimes,Evening,Mixed,Often,1 week before,1,2,Sometimes
BS Software Engineering,4,4.4,1.5,2.99,3.52,6.1,96.1,1.8,Sometimes,Late night,Mixed,Sometimes,Throughout the semester,4,3,Sometimes
BS AI,1,4.6,4.1,4.0,3.75,6.6,97.5,4.5,Often,Late night,Mixed,Sometimes,2–3 days before,4,4,Sometimes
BS Software Engineering,5,2.1,4.5,3.07,3.65,6.7,85.9,3.3,Rarely,Afternoon,Mixed,Often,2–3 days before,4,2,Sometimes
BS Urdu,4,3.8,2.0,2.35,3.28,3.7,75.1,0.9,Always,Late night,Group study,Never,Last day,3,1,Sometimes
BS Data Science,4,1.9,3.9,2.13,3.31,6.6,72.2,2.6,Always,Morning,Mixed,Never,2–3 days before,5,1,Yes
Radiology,4,4.9,1.5,2.14,3.59,14.5,84.8,1.4,Rarely,Late night,Mixed,Often,Throughout the semester,4,1,Yes
BS Software Engineering,5,1.5,4.5,4.0,3.75,6.3,92.6,3.6,Rarely,Morning,Mixed,Sometimes,1 week before,3,3,Sometimes
BS Mathematics,3,4.1,3.6,1.94,3.22,6.6,89.1,2.5,Often,Evening,Mixed,Sometimes,1 week before,3,5,Yes
DPT,6,1.8,4.5,3.48,3.69,6.5,93.2,2.8,Sometimes,Late night,Video lectures,Rarely,1 week before,5,1,No
BS Data Science,5,4.9,3.3,2.0,3.26,5.4,91.8,3.5,Sometimes,Late night,Mixed,Rarely,2–3 days before,5,1,Sometimes
DPT,5,1.7,3.4,2.88,3.75,6.7,86.7,2.7,Rarely,Morning,Reading notes,Sometimes,1 week before,3,3,Sometimes
BS Data Science,2,4.1,3.2,2.29,3.23,14.3,92.9,2.6,Sometimes,Late night,Mixed,Never,Last day,5,2,Sometimes
BS Mathematics,2,2.2,4.3,2.9,3.71,13.3,97.5,2.5,Sometimes,Morning,Video lectures,Sometimes,Throughout the semester,5,2,Sometimes
BS Data Science,1,2.1,3.7,2.42,3.75,5.7,87.7,2.3,Rarely,Evening,Mixed,Sometimes,Throughout the semester,4,2,Sometimes
BS Software Engineering,3,3.9,3.2,4.0,3.75,6.0,94.0,4.1,Often,Afternoon,Mixed,Sometimes,1 week before,4,5,No
BS Data Science,6,5.5,1.5,2.63,3.36,6.7,89.2,2.9,Sometimes,Late night,Mixed,Never,Last day,3,2,Yes
BS Data Science,6,4.5,4.4,1.61,3.75,4.0,75.2,2.2,Rarely,Late night,Mixed,Rarely,2–3 days before,5,3,Sometimes
BS Software Engineering,4,1.9,3.8,1.29,3.19,6.4,94.1,1.3,Sometimes,Evening,Video lectures,Rarely,Throughout the semester,0,5,Sometimes
Radiology,2,4.8,1.5,2.67,3.34,6.6,90.9,0.0,Often,Morning,Practice questions,Rarely,1 week before,4,1,Sometimes
BS AI,7,2.1,3.4,2.62,3.31,7.8,80.5,1.3,Always,Morning,Video lectures,Often,Throughout the semester,5,3,Yes
BS Data Science,4,1.5,3.6,3.14,3.02,5.9,89.1,3.9,Sometimes,Morning,Video lectures,Never,1 week before,5,1,No
BS Mathematics,5,1.7,4.5,3.03,3.75,6.9,93.8,1.9,Sometimes,Morning,Mixed,Sometimes,Throughout the semester,2,4,Sometimes
BS Data Science,4,5.5,2.5,0.0,3.75,6.3,81.8,1.8,Rarely,Late night,Mixed,Never,Throughout the semester,5,1,Yes
BS Data Science,4,1.5,3.8,4.0,3.2,6.5,86.5,4.5,Sometimes,Morning,Mixed,Sometimes,1 week before,3,2,Yes
BS Data Science,5,1.7,1.9,4.0,3.72,6.5,87.8,2.1,Often,Evening,Mixed,Sometimes,2–3 days before,5,3,Sometimes
BS Mathematics,7,1.6,3.3,0.0,3.21,6.7,91.0,4.5,Often,Morning,Mixed,Always,Last day,5,1,No
BS Software Engineering,7,1.5,3.8,3.47,2.25,6.1,94.1,2.5,Often,Late night,Mixed,Often,1 week before,5,2,Yes
BS Data Science,3,2.0,4.3,2.52,3.49,6.4,80.1,2.0,Rarely,Afternoon,Reading notes,Sometimes,1 week before,2,4,Sometimes
BS Mathematics,3,3.1,4.5,2.85,3.35,6.3,97.5,2.5,Sometimes,Late night,Group study,Sometimes,Throughout the semester,5,2,No
Radiology,2,1.9,1.9,1.82,3.33,6.3,80.6,0.3,Rarely,Evening,Video lectures,Never,1 week before,2,2,No
BSCS,4,1.5,3.5,3.43,3.75,5.5,85.8,4.5,Sometimes,Morning,Mixed,Rarely,1 week before,2,4,Sometimes
BS AI,7,1.9,1.5,1.99,3.1,13.1,76.8,2.2,Sometimes,Late night,Mixed,Always,Throughout the semester,5,1,Sometimes
BS Mathematics,5,4.1,3.7,3.27,2.88,6.8,94.2,2.1,Always,Afternoon,Video lectures,Sometimes,1 week before,2,2,Sometimes
BS Data Science,4,2.2,1.5,2.06,3.32,6.9,88.3,2.2,Always,Late night,Group study,Never,Throughout the semester,4,2,Sometimes
BS Software Engineering,2,1.5,4.5,1.76,3.24,6.7,83.9,1.9,Always,Morning,Mixed,Never,1 week before,3,5,Yes
BS Software Engineering,1,1.9,3.3,3.52,3.36,6.5,91.1,0.6,Often,Evening,Practice questions,Never,2–3 days before,5,2,Yes
BS Software Engineering,4,4.9,3.6,2.57,3.21,7.0,80.7,1.5,Rarely,Evening,Video lectures,Often,1 week before,4,4,Sometimes
BS Software Engineering,6,1.5,3.6,4.0,3.33,6.3,82.4,4.5,Sometimes,Morning,Mixed,Rarely,Last day,5,1,No
BS Data Science,3,1.9,4.5,1.95,3.25,11.8,86.5,2.6,Sometimes,Late night,Practice questions,Sometimes,Throughout the semester,4,1,Yes
BS Data Science,5,1.8,3.8,2.12,3.52,6.5,77.1,4.4,Often,Late night,Mixed,Sometimes,1 week before,3,3,Sometimes
BS AI,1,5.4,3.6,3.5,3.39,6.6,76.2,3.7,Always,Late night,Reading notes,Sometimes,Throughout the semester,4,1,No
Radiology,2,3.6,3.0,2.9,3.14,8.3,85.0,1.4,Sometimes,Evening,Mixed,Often,2–3 days before,5,3,Sometimes
BS Data Science,2,4.7,3.9,2.2,3.75,6.8,81.0,2.2,Rarely,Late night,Video lectures,Sometimes,Throughout the semester,1,5,Yes
BS Data Science,1,1.9,2.4,3.42,3.75,6.4,79.9,1.7,Rarely,Morning,Mixed,Rarely,1 week before,4,3,Sometimes
Radiology,5,1.5,4.3,3.08,3.64,6.5,81.1,4.5,Always,Late night,Mixed,Rarely,Last day,4,1,Yes
BBA,5,2.1,3.4,1.2,3.63,6.0,90.2,3.9,Sometimes,Morning,Mixed,Rarely,2–3 days before,5,1,Sometimes
BS Data Science,2,3.7,2.2,3.06,3.73,3.4,96.5,2.7,Rarely,Evening,Mixed,Sometimes,Throughout the semester,3,3,Sometimes
BS AI,1,1.8,4.4,3.65,2.71,11.4,97.5,3.6,Sometimes,Morning,Mixed,Sometimes,1 week before,2,3,Sometimes
BBA,4,1.7,4.3,2.81,3.28,6.3,93.8,3.8,Sometimes,Evening,Mixed,Sometimes,1 week before,1,5,Sometimes
BS Accounting & finance,5,1.6,3.5,2.33,3.13,5.8,85.0,1.9,Sometimes,Morning,Mixed,Never,Last day,3,2,No
BS Data Science,4,4.5,3.2,3.25,3.15,6.0,84.4,3.6,Often,Afternoon,Mixed,Rarely,Last day,4,1,Sometimes
BS Software Engineering,5,1.9,4.5,4.0,3.64,6.0,93.2,3.6,Sometimes,Morning,Mixed,Rarely,1 week before,2,2,Sometimes
BS Software Engineering,6,1.9,3.6,0.0,3.27,6.4,85.8,2.1,Rarely,Afternoon,Mixed,Rarely,2–3 days before,5,1,Sometimes
BS Software Engineering,1,2.0,1.5,2.73,3.75,6.6,92.3,0.2,Always,Morning,Reading notes,Never,Last day,0,1,Sometimes
BS English,3,1.7,3.6,2.84,3.36,6.7,83.2,4.2,Sometimes,Evening,Practice questions,Rarely,1 week before,4,1,Yes
BS AI,5,2.7,4.5,3.41,3.7,7.1,90.7,3.9,Rarely,Morning,Video lectures,Rarely,Throughout the semester,4,4,Sometimes
BS Data Science,6,1.7,2.2,3.75,3.75,6.1,96.8,0.8,Sometimes,Morning,Group study,Sometimes,Last day,0,4,Yes
BS Software Engineering,2,2.2,3.0,2.52,3.75,6.2,87.2,1.6,Sometimes,Morning,Mixed,Always,Throughout the semester,5,2,Yes
BS AI,6,2.0,3.2,3.72,3.16,6.3,60.0,4.2,Never,Morning,Video lectures,Rarely,Throughout the semester,4,3,No
BS Data Science,5,1.8,4.5,1.88,3.35,7.1,67.7,4.1,Sometimes,Late night,Mixed,Sometimes,Last day,4,1,Sometimes
BS Computer Science,3,2.0,4.5,0.0,2.71,4.3,94.5,1.9,Often,Late night,Mixed,Sometimes,2–3 days before,5,4,Sometimes
BS Computer Science,4,1.5,3.9,2.41,3.74,6.3,86.0,1.6,Sometimes,Evening,Mixed,Never,1 week before,3,3,Sometimes
Radiology,3,1.9,1.5,3.31,3.73,9.5,85.5,4.5,Rarely,Late night,Mixed,Never,Throughout the semester,4,4,Sometimes
BS Software Engineering,3,1.9,2.6,2.49,3.32,6.1,93.5,1.7,Sometimes,Morning,Video lectures,Sometimes,Throughout the semester,4,2,Yes
BS Data Science,4,4.9,2.1,1.5,3.2,3.8,70.9,0.7,Rarely,Late night,Mixed,Often,Throughout the semester,4,3,Yes
BS Software Engineering,3,1.9,3.7,3.56,3.75,5.9,94.5,4.2,Sometimes,Evening,Practice questions,Always,Throughout the semester,4,1,Sometimes
BS Data Science,5,2.1,3.4,3.12,3.56,5.7,90.1,2.9,Never,Evening,Mixed,Sometimes,1 week before,4,1,Yes
BS Software Engineering,5,1.7,1.5,2.03,3.22,6.4,87.3,4.5,Often,Late night,Practice questions,Rarely,1 week before,0,1,Sometimes
BS Data Science,3,4.4,2.0,2.23,2.84,10.5,75.1,2.0,Rarely,Evening,Mixed,Often,2–3 days before,5,2,Yes
BBA,3,5.5,4.5,2.62,3.22,5.7,94.7,0.6,Sometimes,Late night,Mixed,Never,Throughout the semester,4,3,Sometimes
BSCS,6,3.5,2.7,0.0,3.29,5.8,76.3,2.3,Sometimes,Late night,Group study,Sometimes,2–3 days before,2,1,Yes
BSCS,5,5.5,3.5,4.0,3.74,6.1,97.5,2.5,Sometimes,Evening,Mixed,Sometimes,Throughout the semester,5,3,Sometimes
BS Data Science,5,1.5,3.9,4.0,3.18,5.7,82.7,4.3,Sometimes,Morning,Mixed,Rarely,1 week before,3,1,Yes
BS Data Science,4,5.5,1.6,0.0,3.75,10.1,97.5,3.1,Rarely,Afternoon,Mixed,Never,Last day,3,3,Yes
BS Data Science,5,1.6,3.4,2.31,3.38,6.0,93.3,1.8,Sometimes,Evening,Practice questions,Never,Last day,5,1,Yes
BS Software Engineering,5,2.0,3.1,3.49,3.46,6.4,97.5,1.7,Rarely,Morning,Mixed,Sometimes,1 week before,5,1,Sometimes
BS AI,6,2.0,2.8,3.18,3.18,6.3,76.7,4.4,Always,Late night,Mixed,Never,2–3 days before,4,3,Sometimes
BBA,1,3.2,1.7,1.98,3.75,14.1,87.2,2.3,Rarely,Late night,Mixed,Sometimes,Throughout the semester,4,1,Sometimes
BS Data Science,2,1.5,4.5,2.5,3.67,12.7,84.0,4.5,Sometimes,Late night,Mixed,Never,Throughout the semester,4,4,Sometimes
BS English,5,4.8,3.7,3.4,3.56,7.3,72.2,1.3,Rarely,Late night,Mixed,Sometimes,Throughout the semester,0,5,Sometimes
BS Software Engineering,6,1.5,3.5,2.14,3.24,12.8,76.8,3.7,Rarely,Morning,Mixed,Rarely,Last day,5,1,Sometimes
BS Data Science,5,3.6,3.6,3.33,2.28,6.3,92.5,4.5,Sometimes,Afternoon,Practice questions,Never,2–3 days before,4,2,Sometimes
BS Software Engineering,2,4.0,3.7,0.0,3.41,6.3,73.9,1.4,Often,Evening,Mixed,Never,Last day,5,2,Yes
BBA,5,1.9,3.5,3.03,3.65,7.1,62.0,3.8,Sometimes,Late night,Mixed,Never,Last day,4,1,Sometimes
BS English,3,1.5,3.5,2.53,3.74,10.0,80.6,1.0,Never,Morning,Video lectures,Always,Throughout the semester,3,1,Sometimes
BSCS,4,4.7,3.5,4.0,3.29,6.6,93.2,4.5,Sometimes,Morning,Practice questions,Rarely,Last day,5,1,Sometimes
Radiology,4,4.3,3.0,2.65,3.72,11.6,67.7,2.0,Sometimes,Late night,Mixed,Never,1 week before,1,5,Sometimes
BBA,3,1.9,3.9,2.73,3.24,10.0,60.0,4.5,Often,Morning,Mixed,Often,1 week before,3,2,Sometimes
Docter of optometry,6,5.5,2.3,2.44,3.69,14.5,81.8,3.7,Rarely,Evening,Video lectures,Rarely,Last day,5,1,No
BS Software Engineering,1,1.7,3.4,4.0,3.75,6.0,95.1,2.1,Sometimes,Morning,Mixed,Sometimes,1 week before,4,5,Sometimes
BS Mathematics,3,1.8,3.7,2.11,3.0,6.0,90.8,3.6,Often,Late night,Practice questions,Never,1 week before,5,1,No
BS Data Science,5,1.5,4.0,2.84,3.75,10.5,77.2,4.0,Sometimes,Morning,Mixed,Never,Throughout the semester,5,1,Yes
BS Software Engineering,1,1.5,2.8,3.04,3.52,12.2,97.5,2.0,Rarely,Late night,Reading notes,Often,Throughout the semester,2,3,Yes
BS Data Science,6,3.7,4.5,3.65,3.5,6.6,95.5,2.4,Sometimes,Late night,Reading notes,Rarely,Throughout the semester,3,4,Sometimes
BS Data Science,5,1.5,4.0,0.0,3.26,5.7,82.2,4.5,Sometimes,Late night,Mixed,Rarely,1 week before,5,2,Sometimes
BS Accounting & finance,5,1.5,3.6,3.57,2.88,5.8,77.4,2.9,Sometimes,Evening,Mixed,Never,Last day,5,2,Yes
BS Data Science,2,1.6,1.5,3.95,2.73,5.8,92.3,1.5,Rarely,Evening,Practice questions,Often,1 week before,2,3,Sometimes
BS Computer Science,3,1.5,2.9,2.54,3.31,7.0,78.3,2.1,Rarely,Morning,Reading notes,Sometimes,Throughout the semester,5,1,Sometimes
BS AI,1,5.5,4.2,3.38,3.75,6.6,97.5,0.3,Sometimes,Late night,Mixed,Sometimes,1 week before,4,4,Sometimes
BS Data Science,5,3.7,3.6,3.22,3.37,6.7,93.0,4.5,Always,Morning,Mixed,Never,Last day,4,1,Yes
BS Software Engineering,2,1.8,4.0,3.63,3.66,13.2,88.6,2.8,Rarely,Late night,Mixed,Rarely,1 week before,3,4,Sometimes
BS Data Science,4,1.5,4.0,1.92,3.19,8.6,78.8,2.9,Rarely,Evening,Mixed,Often,Throughout the semester,4,4,Sometimes
BS Data Science,2,1.9,3.9,1.64,3.11,5.6,93.8,4.5,Sometimes,Late night,Mixed,Sometimes,Last day,4,3,No
BS AI,3,4.3,4.5,3.07,2.58,7.0,75.7,2.4,Rarely,Morning,Practice questions,Rarely,1 week before,0,5,Sometimes
BS Accounting & finance,4,2.1,3.2,3.07,3.33,6.2,97.5,1.1,Rarely,Evening,Mixed,Never,2–3 days before,5,3,Sometimes
DPT,5,1.5,4.4,4.0,3.59,6.5,94.2,4.5,Sometimes,Morning,Mixed,Never,Last day,5,2,No
BS Data Science,5,1.9,3.1,1.8,2.85,5.8,60.0,2.2,Rarely,Afternoon,Mixed,Often,Last day,3,1,No
Docter of optometry,4,1.6,2.4,2.2,3.34,6.3,97.3,1.3,Often,Morning,Mixed,Rarely,Last day,2,1,Yes
BBA,5,1.8,3.6,2.74,3.7,6.2,86.5,1.4,Rarely,Morning,Mixed,Sometimes,Last day,5,2,No
BS AI,7,3.4,3.0,3.32,3.26,6.1,97.5,4.2,Sometimes,Late night,Video lectures,Sometimes,2–3 days before,5,1,No
BS Urdu,5,1.6,3.6,3.17,3.09,12.0,75.2,4.4,Often,Late night,Video lectures,Rarely,1 week before,4,1,No
BBA,5,2.8,3.6,2.99,3.64,7.3,91.1,1.7,Sometimes,Late night,Mixed,Rarely,1 week before,0,4,Sometimes
BS Software Engineering,4,1.6,2.8,2.62,3.3,6.3,74.3,1.4,Never,Late night,Mixed,Sometimes,2–3 days before,4,2,Sometimes
Radiology,4,2.1,3.6,3.41,3.21,6.5,73.9,2.8,Sometimes,Late night,Video lectures,Rarely,1 week before,3,5,Sometimes
BS Accounting & finance,1,3.7,1.5,4.0,3.63,5.9,94.2,4.5,Sometimes,Evening,Video lectures,Always,1 week before,3,3,Sometimes
BS AI,3,4.1,4.1,3.08,3.75,11.9,81.3,0.7,Sometimes,Evening,Reading notes,Always,Throughout the semester,5,3,Sometimes
BS Data Science,5,1.5,4.0,2.78,3.29,6.9,81.5,3.9,Sometimes,Late night,Mixed,Never,Last day,2,4,Sometimes
BS Mathematics,4,1.7,4.5,2.02,3.72,6.5,78.4,3.2,Sometimes,Late night,Video lectures,Sometimes,1 week before,3,4,Yes
BS Accounting & finance,5,1.5,4.5,2.83,3.23,6.3,85.8,4.0,Often,Morning,Video lectures,Rarely,1 week before,2,5,Sometimes
BS Software Engineering,5,1.8,4.5,2.38,3.75,5.7,92.1,4.0,Often,Evening,Mixed,Never,1 week before,4,1,Yes
BS Data Science,2,1.9,2.9,2.58,3.6,6.9,73.5,2.4,Sometimes,Evening,Mixed,Never,Last day,3,2,Yes
BS Data Science,4,5.5,3.3,0.0,3.35,6.1,87.3,2.9,Sometimes,Evening,Practice questions,Sometimes,1 week before,3,1,Yes
BBA,7,5.2,1.5,4.0,2.86,12.5,75.9,4.5,Often,Afternoon,Group study,Often,Throughout the semester,3,1,No
BSCS,2,1.5,3.3,2.21,3.24,2.5,86.1,1.1,Sometimes,Evening,Video lectures,Sometimes,Throughout the semester,5,1,Sometimes
BS Data Science,6,2.0,3.4,3.58,3.75,6.9,97.5,4.5,Sometimes,Morning,Mixed,Rarely,1 week before,5,1,Sometimes
Radiology,4,1.7,3.3,3.41,3.58,6.5,97.5,1.6,Sometimes,Evening,Mixed,Never,Throughout the semester,3,1,No
BS Accounting & finance,1,4.1,1.5,3.11,3.63,6.4,89.7,3.2,Never,Late night,Practice questions,Always,Throughout the semester,4,3,Sometimes
BS Data Science,5,1.7,3.6,2.04,3.3,6.0,76.5,3.1,Sometimes,Evening,Mixed,Never,Last day,5,1,Yes
BS Data Science,3,4.6,1.5,2.29,3.7,11.9,92.2,1.2,Rarely,Afternoon,Mixed,Often,Throughout the semester,1,4,Sometimes
BS Mathematics,5,1.8,2.4,2.37,3.75,4.9,94.0,2.8,Sometimes,Morning,Group study,Never,1 week before,3,3,Sometimes
BS Data Science,1,1.9,3.4,2.18,3.2,6.2,75.1,1.1,Sometimes,Late night,Video lectures,Sometimes,Throughout the semester,4,2,Yes
BS Software Engineering,4,1.9,3.5,0.0,3.37,6.4,87.9,1.3,Rarely,Morning,Mixed,Never,Last day,5,2,Sometimes
BS Data Science,5,1.5,2.8,2.26,3.16,7.2,89.6,4.2,Sometimes,Afternoon,Mixed,Often,Last day,3,2,Yes
BS AI,3,2.0,1.5,2.91,3.32,6.9,84.1,1.7,Rarely,Late night,Mixed,Always,Throughout the semester,5,3,Sometimes
BS Data Science,1,4.4,2.6,2.35,3.75,7.1,91.9,1.1,Rarely,Afternoon,Mixed,Often,1 week before,2,4,Sometimes
BS Data Science,5,1.5,3.8,3.49,3.75,5.9,90.2,4.3,Often,Late night,Video lectures,Sometimes,1 week before,4,5,Yes
BS Software Engineering,5,1.5,4.5,4.0,3.18,6.4,97.5,2.1,Sometimes,Morning,Mixed,Sometimes,1 week before,5,3,Sometimes
BS AI,5,3.7,1.5,3.37,3.73,6.4,88.0,4.5,Rarely,Evening,Practice questions,Never,1 week before,4,1,Yes
BS Data Science,3,5.0,4.3,1.74,3.2,5.7,76.2,2.7,Often,Morning,Mixed,Sometimes,Throughout the semester,4,1,Yes
BBA,7,1.5,4.0,4.0,3.49,6.8,91.9,3.6,Sometimes,Late night,Mixed,Sometimes,Last day,2,4,Sometimes
BS Data Science,5,2.3,1.8,2.85,2.92,6.4,88.1,0.0,Sometimes,Morning,Mixed,Never,Throughout the semester,3,1,Sometimes
BS Accounting & finance,2,5.3,2.2,0.0,3.19,6.9,79.2,2.7,Rarely,Evening,Mixed,Sometimes,Last day,4,1,No
BS English,5,1.5,3.4,3.64,3.75,6.5,97.5,2.1,Sometimes,Late night,Mixed,Rarely,Last day,5,4,Sometimes
BS Data Science,1,4.6,1.8,3.29,3.71,11.8,71.6,1.5,Sometimes,Late night,Mixed,Often,Throughout the semester,1,2,Sometimes
BS Software Engineering,5,1.8,3.4,3.47,3.75,5.9,74.1,3.1,Always,Late night,Mixed,Never,2–3 days before,5,1,Yes
BS Mathematics,5,1.9,3.4,2.58,3.75,7.7,75.6,3.3,Sometimes,Morning,Mixed,Never,Last day,4,1,Yes
BS Data Science,4,1.9,1.5,2.17,3.46,6.2,97.5,0.8,Sometimes,Morning,Mixed,Never,Last day,3,1,Sometimes
BS Computer Science,5,5.5,1.5,2.94,3.71,7.2,81.6,2.1,Rarely,Morning,Mixed,Rarely,1 week before,2,2,Sometimes
BBA,2,2.8,2.1,0.0,3.53,8.7,92.3,1.1,Rarely,Evening,Mixed,Often,Throughout the semester,2,3,Yes
BS Data Science,4,5.5,1.5,1.43,3.23,8.5,67.8,0.8,Rarely,Late night,Mixed,Often,1 week before,5,2,No
DPT,5,1.5,3.4,3.36,3.63,6.3,97.5,2.2,Sometimes,Late night,Video lectures,Sometimes,1 week before,0,4,Sometimes
BS Data Science,5,5.5,4.0,3.74,3.65,7.0,66.6,3.4,Always,Late night,Mixed,Rarely,1 week before,2,4,Yes
Radiology,6,1.5,4.5,3.35,3.52,6.1,82.8,4.5,Often,Late night,Mixed,Rarely,1 week before,4,4,Sometimes
BS Software Engineering,3,1.5,2.5,2.92,3.66,8.2,95.5,3.8,Sometimes,Evening,Video lectures,Never,Throughout the semester,5,2,Yes
BS Software Engineering,5,1.5,3.6,2.37,3.24,6.8,89.9,4.5,Often,Evening,Mixed,Sometimes,1 week before,5,4,Yes
BS Data Science,3,1.5,3.5,2.33,3.23,6.3,72.1,4.5,Sometimes,Morning,Mixed,Never,1 week before,3,1,Yes
BS AI,3,1.8,3.2,3.38,3.22,2.5,91.3,0.8,Sometimes,Evening,Practice questions,Never,1 week before,5,1,No
BS Data Science,4,2.0,4.5,2.28,3.24,6.5,74.6,2.6,Sometimes,Late night,Mixed,Rarely,2–3 days before,4,2,Yes
BS Software Engineering,4,1.7,3.5,4.0,3.75,6.2,93.8,4.5,Sometimes,Morning,Video lectures,Rarely,1 week before,4,2,No
BBA,1,5.4,3.4,3.17,3.32,6.8,65.5,1.5,Sometimes,Evening,Video lectures,Always,1 week before,2,3,No
BS Mathematics,5,1.5,3.6,3.7,3.75,5.9,85.6,3.2,Sometimes,Morning,Video lectures,Sometimes,1 week before,3,4,Yes
BS Data Science,5,1.6,2.5,0.0,3.17,7.0,77.8,4.5,Often,Late night,Mixed,Rarely,Last day,5,2,Sometimes
BS Accounting & finance,5,4.5,1.8,2.47,2.25,6.3,93.3,3.7,Sometimes,Late night,Mixed,Sometimes,1 week before,4,5,Sometimes
